species_name
Panthera tigris
Ailuropoda melanoleuca
Balaenoptera musculus
Loxodonta africana
Acinonyx jubatus
Ursus maritimus
Ornithorhynchus anatinus
Macropus rufus
Phascolarctos cinereus
Canis lupus
Haliaeetus leucocephalus
Aptenodytes forsteri
Struthio camelus
Phoenicopterus roseus
Ara macao
Bubo scandiacus
Pavo cristatus
Alcedo atthis
Gavia immer
Falco peregrinus
Iguana iguana
Ophiophagus hannah
Crocodylus niloticus
Varanus komodoensis
Dermochelys coriacea
Geochelone elegans
Chamaeleo calyptratus
Eunectes murinus
Alligator mississippiensis
Sphenodon punctatus
Carcharodon carcharias
Amphiprion ocellaris
Mola mola
Hippocampus kuda
Betta splendens
Pterois volitans
Rhincodon typus
Xiphias gladius
Salmo salar
Latimeria chalumnae
Sequoiadendron giganteum
Dionaea muscipula
Rafflesia arnoldii
Ginkgo biloba
Welwitschia mirabilis
Danaus plexippus
Apis mellifera
Lucanus cervus
Mantis religiosa
Atta sexdens
